1,00:00:00,70,,,,,,,,,
,00:00:01,70,,,,,,,,,
,00:00:02,70,,,,,,,,,
,00:00:03,75,0.0,00:00,,,,0.00,,,
,00:00:04,75,0.0,00:00,,,,0.00,,,
,00:00:05,83,0.0,00:00,,,,0.00,,,
,00:00:06,84,0.0,00:00,,,,0.00,,,
,00:00:07,80,0.2,243:36,,,,4.13,,,
,00:00:08,80,0.5,124:19,,,,15.89,,,
,00:00:09,80,0.5,124:19,,,,15.89,,,
,00:00:10,90,0.7,91:48,,,,21.55,,,
,00:00:11,90,0.8,77:34,,,,25.70,,,
,00:00:12,90,0.8,77:34,,,,25.70,,,
,00:00:13,90,1.1,53:12,,,,30.92,,,
,00:00:14,90,1.1,53:12,,,,30.92,,,
,00:00:15,100,1.6,36:57,,,,39.85,,,
,00:00:16,100,1.7,34:41,,,,44.72,,,
,00:00:17,100,1.7,34:41,,,,44.72,,,
,00:00:18,100,2.0,29:50,,,,48.69,,,
,00:00:19,100,2.2,26:54,,,,53.71,,,
,00:00:20,110,2.2,26:54,,,,53.71,,,
,00:00:21,110,2.5,23:51,,,,60.53,,,
,00:00:22,110,2.5,23:51,,,,60.53,,,
,00:00:23,110,2.6,22:39,,,,67.31,,,
,00:00:24,110,2.6,22:39,,,,67.31,,,
,00:00:25,120,3.3,18:05,,,,77.53,,,
,00:00:26,120,4.5,13:21,,,,84.60,,,
,00:00:27,120,4.5,13:21,,,,84.60,,,
,00:00:28,120,6.2,09:43,,,,106.95,,,
,00:00:29,120,6.2,09:43,,,,106.95,,,
,00:00:30,130,7.7,07:45,,,,134.43,,,
,00:00:31,130,9.1,06:37,,,,149.24,,,
,00:00:32,130,9.8,06:07,,,,164.49,,,
,00:00:33,130,9.8,06:07,,,,164.49,,,
,00:00:34,130,10.6,05:41,,,,197.71,,,
,00:00:35,140,11.2,05:21,,,,215.80,,,
,00:00:36,140,11.2,05:21,,,,215.80,,,
,00:00:37,140,12.0,05:00,,,,256.04,,,
,00:00:38,140,12.0,05:00,,,,256.04,,,
,00:00:39,140,10.7,05:38,,,,283.02,,,
,00:00:30,130,7.7,07:45,,,,134.43,,,
,00:00:31,130,9.1,06:37,,,,149.24,,,
,00:00:32,130,9.8,06:07,,,,164.49,,,
,00:00:33,130,9.8,06:07,,,,164.49,,,
,00:00:34,130,10.6,05:41,,,,197.71,,,
,00:00:25,120,3.3,18:05,,,,77.53,,,
,00:00:26,120,4.5,13:21,,,,84.60,,,
,00:00:27,120,4.5,13:21,,,,84.60,,,
,00:00:28,120,6.2,09:43,,,,106.95,,,
,00:00:29,120,6.2,09:43,,,,106.95,,,
,00:00:20,110,2.2,26:54,,,,53.71,,,
,00:00:21,110,2.5,23:51,,,,60.53,,,
,00:00:22,110,2.5,23:51,,,,60.53,,,
,00:00:23,110,2.6,22:39,,,,67.31,,,
,00:00:24,110,2.6,22:39,,,,67.31,,,
,00:00:15,100,1.6,36:57,,,,39.85,,,
,00:00:16,100,1.7,34:41,,,,44.72,,,
,00:00:17,100,1.7,34:41,,,,44.72,,,
,00:00:18,100,2.0,29:50,,,,48.69,,,
,00:00:19,100,2.2,26:54,,,,53.71,,,
,00:00:10,90,0.7,91:48,,,,21.55,,,
,00:00:11,90,0.8,77:34,,,,25.70,,,
,00:00:12,90,0.8,77:34,,,,25.70,,,
,00:00:13,90,1.1,53:12,,,,30.92,,,
,00:00:14,90,1.1,53:12,,,,30.92,,,
,00:00:40,95,9.5,06:21,,,,292.78,,,
,00:00:41,95,9.5,06:21,,,,292.78,,,
,00:00:42,95,8.1,07:23,,,,315.78,,,
,00:00:43,95,9.3,06:29,,,,333.62,,,
,00:00:44,95,10.4,05:47,,,,353.01,,,
,00:00:45,95,11.5,05:13,,,,373.49,,,
,00:00:46,96,12.2,04:55,,,,393.20,,,
,00:00:47,96,12.2,04:55,,,,393.20,,,
,00:00:48,97,12.4,04:51,,,,429.17,,,
,00:00:49,98,12.4,04:50,,,,446.79,,,
,00:00:50,98,12.2,04:56,,,,464.61,,,
,00:00:51,99,12.2,04:56,,,,464.61,,,
,00:00:05,83,0.0,00:00,,,,0.00,,,
,00:00:06,84,0.0,00:00,,,,0.00,,,
